voltage,current,temperature,current_load,voltage_load,time,ic
4.196450282799754,-0.001495415658066508,23.652272583938505,-0.0006,0.0,0.0,449869.0977806339
4.19652461108806,-0.004105059384815215,23.64183560576637,-0.0004,4.213,16.719,190.4161910179018
3.9972873519180494,-1.990966701940961,23.708283606509763,-2.0,3.008,35.688,1696.1828918517308
3.975971254359414,-1.9896319832255585,23.848062182707476,-2.0,2.996,53.766,2291.742885102049
3.9601946154375525,-1.9891008066968165,24.029794705893107,-2.0,2.982,71.844,2744.1295491201636
3.946927749078538,-1.9897914869962652,24.20754660354228,-2.0,2.975,90.047,3102.167419417023
3.9352520413867826,-1.9930544882832784,24.38652072797211,-2.0,2.972,108.15700000000001,3665.1493299502836
3.925361584890569,-1.9890469055145146,24.556599061246164,-2.0,2.971,126.282,4057.1502068357863
3.9164114602590434,-1.9887231989713845,24.744337421418273,-2.0,2.968,144.438,4345.752257761949
3.9080557147295685,-1.9886575224919472,24.939173781114494,-2.0,2.964,162.594,4723.014426344179
3.900347501983714,-1.9917229555761837,25.09998730054655,-2.0,2.959,180.797,4717.099841459426
3.8926427678840527,-1.9901311925839755,25.29492363862534,-2.0,2.953,198.969,5392.8187348334695
3.885891938347572,-1.9909212160140681,25.45424141762956,-2.0,2.947,217.172,5282.1398144895675
3.8790113934781796,-1.9887717075693734,25.621900635851407,-2.0,2.941,235.344,5669.612749964077
3.872601079122895,-1.9878538108783859,25.791447831718198,-2.0,2.935,253.516,5774.165916761117
3.8663123786381037,-1.991207418835154,25.96122507780578,-2.0,2.93,271.672,6270.973114864377
3.8605467662940964,-1.988879480355243,26.1245745770285,-2.0,2.924,289.75,6038.251798895471
3.854506938672686,-1.9897801580778225,26.266113338802292,-2.0,2.919,307.985,6606.881049658513
3.8490250782111795,-1.9872402997562302,26.42393291463328,-2.0,2.914,326.094,6937.252211612092
3.8437771790589674,-1.9940441551370502,26.589848933220015,-2.0,2.909,344.297,6747.964526696472
3.8384051887563233,-1.9880794251973528,26.768693756376596,-2.0,2.903,362.422,7279.153676079362
3.833425214213524,-1.9867040441572181,26.901831591913147,-2.0,2.899,380.547,7108.252918785161
3.8282858360263106,-1.9899059163445871,27.068671309950304,-2.0,2.894,398.813,7571.685005924691
3.8234900739242703,-1.9899996585325657,27.20110438889484,-2.0,2.889,416.969,7056.429073455688
3.8183617009719892,-1.9919135034756181,27.348393373304106,-2.0,2.884,435.063,7357.358212011016
3.8134262337902065,-1.9914964579116856,27.5053520233289,-2.0,2.879,453.219,6904.31568002927
3.8081532999199745,-1.9905930891300807,27.635304979822465,-2.0,2.874,471.422,7156.306372518867
3.80310097290686,-1.9894558811155363,27.77209587684956,-2.0,2.869,489.5,6888.090461727293
3.7978426215246808,-1.9897337323540265,27.915016680839575,-2.0,2.864,507.61,7108.819894025336
3.7927433222682083,-1.9903394766828713,28.053007155237914,-2.0,2.859,525.735,7249.847867359782
3.7877131477504524,-1.9879866170871658,28.176854126086578,-2.0,2.854,543.969,7011.391411328302
3.782525019194225,-1.9897308355073535,28.278630969875515,-2.0,2.849,562.157,7142.884119205204
3.777406358525813,-1.9871837963712853,28.404465465243703,-2.0,2.844,580.438,7745.5278199774975
3.772693961792067,-1.989112191672352,28.513346691115604,-2.0,2.839,598.688,7446.500136778723
3.767788032922266,-1.9898701232321812,28.621395478252452,-2.0,2.834,616.954,7634.1069722341545
3.76299873665841,-1.9886113812233432,28.72051636754184,-2.0,2.829,635.235,8458.466569328926
3.7586946468211324,-1.9910679193878906,28.796347778742348,-2.0,2.825,653.438,8212.104326173681
3.7542499882354314,-1.9868680932295868,28.878864510570015,-2.0,2.82,671.688,8139.696276381862
3.749754243092436,-1.9901137040814951,28.93336777357735,-2.0,2.816,689.985,8513.026225113807
3.7454777380004396,-1.9879117639399049,28.998966016137825,-2.0,2.811,708.188,8331.343931170759
3.741077967650922,-1.991604636462466,29.062870785057125,-2.0,2.807,726.516,8594.401862283758
3.736845445064372,-1.9908197871912134,29.10375173798354,-2.0,2.803,744.704,9030.05572093504
3.732793199858934,-1.993499496491349,29.13730586443402,-2.0,2.799,763.0,9269.495176490007
3.7288521006615736,-1.9883874764209277,29.16804771841076,-2.0,2.795,781.266,9051.053329896751
3.7248158853539772,-1.9872469021373627,29.218268657951857,-2.0,2.791,799.532,9237.410756910562
