CC_time,all_charge_time,CC_ratio
3336.39,10516.0,0.32
3333.25,10484.55,0.32
3347.58,10397.89,0.32
3346.2,10495.2,0.32
3335.89,10792.67,0.31
3326.11,10789.98,0.31
3337.53,10127.56,0.33
3369.34,10147.95,0.33
3327.75,10162.09,0.33
3337.3,10119.38,0.33
3329.24,10013.24,0.33
2837.53,9586.88,0.3
3312.88,9952.36,0.33
3322.5,10758.03,0.31
3325.3,9921.75,0.34
3300.12,10000.25,0.33
3291.78,9936.03,0.33
3293.14,9989.53,0.33
3266.39,10158.78,0.32
3223.97,10289.31,0.31
3431.89,10283.08,0.33
3388.7,10281.39,0.33
3357.05,10081.8,0.33
3354.09,10797.33,0.31
3345.64,10099.22,0.33
3324.26,10078.72,0.33
3360.09,10617.38,0.32
3300.24,10564.16,0.31
3290.2,10143.98,0.32
3290.3,10790.45,0.3
3302.5,10442.89,0.32
3319.58,10278.28,0.32
3336.67,10113.66,0.33
3322.38,10137.89,0.33
3296.52,10651.66,0.31
3273.31,10032.48,0.33
3240.88,10574.3,0.31
3243.05,10461.74,0.31
3222.78,9993.06,0.32
3192.5,10602.28,0.3
3170.81,10667.97,0.3
3204.26,10504.78,0.31
3206.59,10246.78,0.31
3158.88,10166.22,0.31
3169.83,10804.92,0.29
3158.48,10758.98,0.29
3129.86,10317.52,0.3
3098.98,10805.73,0.29
3090.0,9946.39,0.31
3312.2,10063.55,0.33
3256.7,10376.17,0.31
3205.86,9756.86,0.33
3170.53,10610.91,0.3
3140.34,9978.08,0.31
3124.83,10246.98,0.3
3065.67,10437.05,0.29
3079.34,10805.83,0.28
3064.11,10805.38,0.28
3040.12,10685.97,0.28
3031.89,10588.64,0.29
3011.28,10736.09,0.28
2994.11,9790.86,0.31
2963.5,10274.36,0.29
2941.67,10711.06,0.27
2933.72,10806.02,0.27
2930.11,10481.05,0.28
2899.59,10153.36,0.29
2871.61,10662.47,0.27
2855.08,10494.62,0.27
2836.86,10467.75,0.27
2820.19,9904.41,0.28
2803.59,10805.66,0.26
2785.16,10777.33,0.26
2725.56,10745.86,0.25
2753.05,10806.78,0.25
2737.14,10806.59,0.25
2716.59,10429.55,0.26
2698.61,10807.09,0.25
2680.97,10719.02,0.25
2671.78,10806.44,0.25
2621.28,10805.26,0.24
2595.56,10208.06,0.25
2633.03,10807.22,0.24
2638.64,10805.91,0.24
2624.06,10655.94,0.25
2601.86,10117.17,0.26
2530.12,10805.86,0.23
2562.66,10806.33,0.24
2559.47,10744.83,0.24
2557.98,10804.8,0.24
2647.09,10802.58,0.25
2638.92,10544.45,0.25
2646.84,10701.12,0.25
2614.52,10805.81,0.24
2542.83,10693.44,0.24
2564.44,10708.41,0.24
2551.67,10805.3,0.24
2534.33,10363.61,0.24
2518.83,10805.09,0.23
2465.11,10805.5,0.23
2449.36,10806.84,0.23
2445.89,10367.91,0.24
2429.14,10806.72,0.22
2481.19,10043.17,0.25
2519.89,10569.81,0.24
2491.55,9917.2,0.25
2463.06,10317.41,0.24
2449.36,10806.11,0.23
2426.97,10041.92,0.24
2429.19,10719.28,0.23
2416.5,10804.72,0.22
2394.69,10805.69,0.22
2376.19,10011.41,0.24
2385.53,10806.62,0.22
2388.47,10805.56,0.22
2368.8,10807.22,0.22
2345.66,10805.55,0.22
2331.92,10510.45,0.22
2336.09,10202.78,0.23
2340.41,10140.86,0.23
2411.12,10340.67,0.23
2398.38,10700.06,0.22
2367.31,10628.94,0.22
2335.06,10807.11,0.22
2315.69,10722.52,0.22
2304.56,10772.97,0.21
2288.31,10745.72,0.21
2273.69,10807.09,0.21
2256.86,10113.64,0.22
2249.17,10585.81,0.21
2196.84,10806.56,0.2
2225.48,10805.28,0.21
2174.28,10733.39,0.2
2234.44,10805.55,0.21
2290.02,10751.27,0.21
2239.84,10805.62,0.21
2219.59,10806.67,0.21
2207.16,10502.45,0.21
2204.8,10689.22,0.21
2198.53,10436.45,0.21
2176.59,10193.25,0.21
2159.92,10733.7,0.2
2101.84,10647.81,0.2
2108.38,10621.24,0.2
2097.08,9969.58,0.21
2079.28,10501.09,0.2
2104.16,10570.74,0.2
2093.62,10804.76,0.19
2097.08,10037.5,0.21
2092.09,10555.12,0.2
2078.73,10807.33,0.19
2180.36,10790.06,0.2
2155.7,10574.64,0.2
2123.97,10074.11,0.21
2104.27,10423.05,0.2
2091.2,10534.05,0.2
2087.8,10266.81,0.2
2070.61,10568.11,0.2
2057.05,10798.34,0.19
2054.8,10279.05,0.2
2043.94,10299.39,0.2
2043.64,10543.08,0.19
2028.94,10430.11,0.19
2024.78,10154.09,0.2
2015.34,10316.91,0.2
2010.73,10571.39,0.19
2001.31,9892.38,0.2
2047.66,10212.23,0.2
