voltage,current,temperature,current_charge,voltage_charge,charge_time
3.691370216990942,-0.0009804912330746325,26.736796696887414,0.0,0.003,0.0
3.352784743728,-3.7930416938652813,26.724760998615963,-3.785,1.511,2.469000000000001
3.8073493667279954,1.5129471354866901,26.741178005017055,1.498,4.542,5.078000000000003
3.8177964914743963,1.5091522260098773,26.75360446180831,1.5,4.558,7.546999999999997
3.824438758186019,1.5114018820012913,26.76637539216234,1.498,4.569,10.015999999999998
3.829101032541784,1.5100974266751772,26.77221455186844,1.498,4.575,12.485
3.8328870563940236,1.509742354082295,26.774400514317982,1.5,4.575,14.969000000000001
3.8358850336296353,1.5113992445864288,26.77590021821288,1.5,4.58,17.438000000000002
3.8386894343111386,1.507821430828804,26.77072556725066,1.5,4.586,19.906
3.8412139492195276,1.5093729040499633,26.763542868544672,1.5,4.586,22.438000000000002
3.84374453353623,1.514552676689453,26.767001806000696,1.5,4.591,24.969
3.845914872464787,1.5089335355448794,26.76520451606076,1.5,4.591,27.485
3.8479078316377064,1.5068590751287432,26.75638308821475,1.5,4.596,30.0
3.8499894372729986,1.5072692487494892,26.745905113469618,1.5,4.596,32.531
3.8520365152658442,1.5105988009658462,26.751823238882974,1.498,4.596,35.047
3.853604092547115,1.5072201337048226,26.741700673258507,1.5,4.596,37.578
3.8548937325746757,1.5105323463597005,26.745403582830527,1.5,4.602,40.094
3.856548466532364,1.5110866606668178,26.735304758876463,1.5,4.602,42.61
3.8584168046428293,1.5100915683497278,26.735619609922793,1.5,4.602,45.11
3.8596008615461606,1.5098849572352442,26.733766282879145,1.5,4.607,47.578
3.8611916237138235,1.5097662277930757,26.731256027107584,1.5,4.607,50.094
3.862964989595019,1.5100077968865535,26.727426234502655,1.498,4.607,52.625
3.863931168480752,1.5104453719165183,26.7214868635403,1.5,4.607,55.141
3.865376978644041,1.5116583553641283,26.71300778879967,1.5,4.613,57.672
3.8670803834909564,1.5096878601914803,26.717605759711468,1.5,4.613,60.188
3.868124496289392,1.5117423236286385,26.703487049337518,1.5,4.613,62.703
3.869545033250806,1.513488699125849,26.70162557044088,1.498,4.618,65.188
3.8708542200484004,1.5097491161589494,26.695889021992308,1.5,4.618,67.656
3.871965972524612,1.5097926783549374,26.69666591361885,1.5,4.618,70.125
3.8735554193518786,1.5120088660488984,26.688799444588682,1.5,4.623,72.594
3.8745608544852317,1.5085188260449995,26.69109318260955,1.5,4.623,75.078
3.8756624950043816,1.510413021507919,26.68670279406487,1.5,4.623,77.594
3.87684036974621,1.5096546909403288,26.678856702500397,1.5,4.623,80.125
3.8786441897896977,1.5067704600829703,26.67608615417879,1.5,4.623,82.64099999999999
3.878966599118892,1.513466989802679,26.67764182773052,1.5,4.623,85.219
3.880491735400413,1.509247029887422,26.679852526999333,1.5,4.629,87.703
3.8814517656943566,1.5141957440832612,26.671722596648753,1.498,4.629,90.172
3.883128823053042,1.5017320153895963,26.665228280162474,1.498,4.629,92.64099999999999
3.883705596959478,1.511459658907211,26.6572140478627,1.498,4.629,95.11
3.8852281858096775,1.5115467162677299,26.663173864090727,1.5,4.634,97.594
3.88598811910505,1.5119956126232668,26.65762500668733,1.498,4.634,100.11
3.8871144758126097,1.5120348632031984,26.649452969487996,1.5,4.634,102.625
3.88850234875705,1.511656561921169,26.65527441885762,1.5,4.634,105.156
3.8893871896969148,1.5115634901780048,26.651046010699012,1.5,4.634,107.735
3.890380669758975,1.5111168251393392,26.647541733904703,1.5,4.64,110.25
3.8912926875466987,1.5129648273468905,26.650758138838707,1.5,4.64,112.781
3.8921564458755697,1.5123317534034733,26.644782229524736,1.498,4.64,115.297
3.893577906690183,1.5100064791347583,26.648584158914257,1.5,4.64,117.828
3.8944645210483837,1.5105465985285984,26.63679261432489,1.5,4.64,120.344
3.8952118620888188,1.5117481915356048,26.632772808120347,1.5,4.64,122.828
3.896416791126925,1.5132437236817164,26.629008334576483,1.5,4.645,125.313
3.897328461521614,1.5129761978859702,26.624410086826664,1.5,4.645,127.781
3.8981957986958857,1.5150061854992556,26.629534572248208,1.5,4.645,130.25
3.8997686652702415,1.5050768415488436,26.629233368559056,1.5,4.645,132.781
3.90015332002756,1.5101002472643288,26.627676838624193,1.498,4.645,135.297
3.90134002005477,1.512776593335045,26.625109664482355,1.5,4.645,137.828
3.9020786892844703,1.50977753425226,26.624160361391795,1.498,4.65,140.344
3.9031083545698797,1.509709204388597,26.620039252929,1.5,4.65,142.86
3.9040402327821067,1.5120441647535587,26.6143353779317,1.5,4.65,145.391
3.9050086222520735,1.511206894089998,26.611730174391646,1.498,4.65,147.938
3.9057238959390173,1.5121345149103582,26.609385580761725,1.5,4.65,150.406
3.9066189437117247,1.5099266002364724,26.61046408168648,1.5,4.656,152.891
3.907405672219166,1.5071847070852173,26.607678273615274,1.498,4.656,155.406
3.90836864956457,1.5144684453171087,26.60790333038308,1.5,4.656,157.938
3.908976259995763,1.5117785496146947,26.60342936552061,1.498,4.656,160.453
