discharge,charge_to_4.2v_time,CC_ratio,discharge_to_min_voltage_time,ic_max,discharge_time,capacity,soh
1,3571.83,0.34,3690.234,21794.640351479404,3690.234,2.035337591005598,100.0
2,3567.97,0.34,3672.344,22263.00115429476,3672.344,2.025140246031412,99.49898508143072
3,3546.23,0.34,3651.641,22188.387631506204,3651.641,2.013326371345464,98.91854698908898
4,3508.28,0.34,3631.563,22142.215378266144,3631.563,2.0132846655407413,98.91649790372313
5,3510.5,0.33,3629.172,21921.02315834123,3629.172,2.000528337624771,98.28975529491258
6,3475.12,0.32,3652.281,22047.577629681204,3652.281,2.0138990759931645,98.9466850557287
7,3474.3,0.35,3650.828,21834.41411506341,3650.828,2.013101105626967,98.907479256665
8,3443.7,0.34,3572.453,21655.119507909127,3572.453,1.96878982627284,96.73038197560734
9,3413.88,0.34,3550.594,21437.715926540943,3550.594,1.9681661764334244,96.6997408749776
10,3411.23,0.34,3551.25,21214.5640588205,3551.25,1.9572307917560536,96.16246466459876
11,3378.48,0.34,3530.25,20989.08747367423,3530.25,1.9455991514129352,95.59098009149795
12,2772.84,0.29,3491.016,20628.95730361517,3491.016,1.934750504484113,95.05796547137972
13,3324.78,0.34,3470.281,20450.90723534807,3470.281,1.9232799539368028,94.49439554578116
14,3298.61,0.31,3470.0,20249.48113426504,3470.0,1.911889930948487,93.93478209204012
15,3277.09,0.33,3450.297,20071.926406352068,3450.297,1.9010667141979305,93.40301690486008
16,3264.38,0.33,3429.407,19721.289522389787,3429.407,1.8891989948061456,92.81993331989464
17,3232.47,0.33,3409.484,19526.51133369842,3409.484,1.878278372248849,92.2833824005014
18,3187.36,0.32,3390.422,19287.366223188452,3390.422,1.8675697161520208,91.75724579573613
19,3173.05,0.31,3370.156,19017.967590459924,3390.281,1.8675892574453767,91.75820589657847
20,3143.67,0.31,3591.734,22071.75946709478,3591.734,1.979626548250818,97.26281070025072
21,3482.09,0.34,3552.297,21921.35659707119,3552.297,1.9575499080884025,96.17814345585968
22,3413.3,0.33,3531.578,21370.140189622063,3531.578,1.9458150170787551,95.6015859814876
23,3369.06,0.34,3492.907,20998.807702817638,3492.907,1.9242461121680092,94.5418647339628
24,3306.14,0.31,3511.594,20745.99336192045,3511.594,1.945981133142164,95.60974757905956
25,3250.34,0.32,3431.9370000000054,20321.70119962909,3431.9370000000054,1.901407930553079,93.41978151219875
26,3206.19,0.32,3410.938,19967.712383657632,3431.125,1.878674213680085,92.3028308415357
27,3193.8,0.3,3392.25,19652.089672018657,3412.406,1.8683061328264217,91.79342734506018
28,3138.11,0.3,3370.266,19349.045549361297,3410.688,1.8560244070083,91.19000283836426
29,3105.59,0.31,3330.265,19149.10169598172,3410.718,1.8451997961855775,90.65816915777204
30,3061.44,0.29,3372.547,18795.86641720452,3392.719,1.857228890885317,91.24918141799353
31,3029.75,0.29,3470.672,21261.04775795476,3470.672,1.9247760889090637,94.56790349742867
32,3105.88,0.3,3394.531,21344.188850237533,3414.109,1.8822317526092551,92.47761948322794
33,3182.02,0.32,3355.984,20077.802588571045,3395.219,1.855276687885587,91.1532659782966
34,3104.23,0.31,3327.594,19471.90438652319,3386.0,1.839250891718188,90.36588818710266
35,3041.64,0.29,3290.484,18794.77826824961,3368.187,1.8185396073994429,89.34830346748316
36,2986.72,0.3,3280.875,18939.544405781304,3368.266,1.8134770059567056,89.09956824708976
37,2956.26,0.28,3252.063,18330.398542512477,3358.719,1.7971018450305436,88.29502550201761
