discharge,charge_to_4.2v_time,CC_ratio,discharge_to_min_voltage_time,ic_max,discharge_time,capacity,soh
1,3312.55,0.32,3487.078,19461.67,3690.234,1.89105229539079,100.0
2,3309.45,0.32,3468.953,19507.208571428568,3672.344,1.880637027686859,99.44923428456649
3,3311.73,0.32,3468.859,19554.147619047617,3651.641,1.8806626717011388,99.45059035569906
4,3310.55,0.32,3469.032,19597.19857142857,3631.563,1.8807709009833444,99.45631358622364
5,3323.98,0.31,3466.984,19642.99,3629.172,1.8794508728285055,99.38650969142624
6,3302.36,0.31,3448.953,19684.629999999997,3652.281,1.8807003517117404,99.45258289766596
7,3301.98,0.33,3447.766,19724.2619047619,3650.828,1.8799352523566075,99.41212397661984
8,3309.05,0.33,3450.812,19765.831428571422,3572.453,1.88150881240388,99.49533479268813
9,3303.95,0.33,3449.016,19800.94428571428,3550.594,1.8696907870385844,98.87039039563994
10,3313.5,0.33,3449.844,19886.100952380948,3551.25,1.870052380139199,98.88951165957832
11,3305.33,0.33,3449.422,19976.90952380952,3530.25,1.8700442394188577,98.8890811733162
12,3297.275,0.3,3430.375,20064.382857142853,3491.016,1.8596518987766364,98.33952785490447
13,3289.22,0.33,3429.906,20114.84285714285,3470.281,1.8590746560862208,98.30900290898823
14,3286.76,0.31,3429.641,20154.816666666666,3470.0,1.8590084577709232,98.30550230165662
15,3288.94,0.34,3410.094,20190.24428571428,3450.297,1.8593622586957048,98.32421151057927
16,3264.38,0.33,3409.188,20222.154285714285,3429.407,1.8587355450601035,98.29107051087615
17,3267.67,0.33,3409.484,20244.937142857136,3409.484,1.847817291322145,97.7137065868551
18,3257.48,0.33,3390.422,20264.736190476196,3390.422,1.8485252916137047,97.75114607455647
19,3242.78,0.32,3390.281,20277.24428571428,3390.281,1.848378951850034,97.74340753850292
20,3200.81,0.31,3469.828,20287.965238095232,3591.734,1.8807805437609768,99.45682350219242
21,3370.97,0.33,3470.953,20399.558571428566,3552.297,1.88147215974436,99.49339657767368
22,3364.62,0.33,3450.61,20510.502380952374,3531.578,1.8810954313244783,99.4734749488113
23,3345.11,0.33,3452.328,20585.72428571428,3492.907,1.8710089649779995,98.94009644991608
24,3341.81,0.31,3450.781,20658.871428571423,3511.594,1.8701995151941373,98.89729225111972
25,3333.62,0.33,3431.9370000000054,20716.74428571428,3431.9370000000054,1.8706715362800983,98.92225301434723
26,3300.31,0.33,3431.125,20781.06857142857,3431.125,1.8596124644020169,98.33744254109716
27,3299.61,0.32,3412.406,20831.388095238093,3412.406,1.860033909718346,98.35972882674648
28,3276.5,0.31,3410.688,20870.075238095236,3410.688,1.8591653109160768,98.31379679174216
29,3278.31,0.32,3410.718,20896.98,3410.718,1.8481398178778288,97.73076198804468
30,3266.7,0.3,3392.719,20936.045714285712,3392.719,1.849201702126164,97.78691507545128
31,3243.41,0.32,3451.062,20947.51952380952,3470.672,1.8834677437950849,99.59892428071969
32,3276.5,0.32,3414.109,20924.868571428568,3414.109,1.8628211117905844,98.50711777410832
33,3309.59,0.33,3395.219,20869.80666666666,3395.219,1.852085039652352,97.9393877243154
34,3286.61,0.33,3386.0,20847.01952380952,3386.0,1.8469504648208708,97.66786827220947
35,3252.27,0.31,3368.187,20804.19952380952,3368.187,1.836828431169018,97.13260895248978
36,3229.02,0.33,3368.266,20764.24809523809,3368.266,1.8371619619672277,97.150246264743
37,3213.8,0.31,3358.719,20731.199047619044,3358.719,1.8316722583718852,96.85994738677316
38,3210.16,0.31,3339.5,20793.26952380952,3339.5,1.8211470951317783,96.30337032828774
39,3187.08,0.32,3331.265,20857.557619047613,3331.265,1.816506091511515,96.0579512231908
40,3156.81,0.3,3321.188,20875.51238095238,3321.188,1.8113815601504557,95.78696287593304
41,3140.59,0.3,3321.844,20913.60714285714,3321.844,1.8116056333939583,95.79881200586186
42,3134.36,0.31,3311.828,20815.873809523808,3311.828,1.8060548955557405,95.50528559986309
