discharge,temperature,discharge_time,ic,capacity,soh
1,38.98218133148803,3690.234,22694.72595654437,1.8564874208181574,100.0
2,39.033397966787035,3672.344,24255.98724764136,1.846327249719927,99.45272071416714
3,38.818796689817404,3651.641,24535.88224586665,1.8353491942234077,98.86138595081705
4,38.7623045063458,3631.563,25001.85643829349,1.8352625275821128,98.85671763794173
5,38.66539257343368,3629.172,21818.556830077086,1.8346455082120419,98.82348178817772
6,38.75169504640032,3652.281,22411.067481043137,1.8356616600675495,98.87821697485944
7,38.8207012322275,3650.828,26427.981650407874,1.8351461429226603,98.85044855913476
8,38.51713023385634,3572.453,24397.867959066138,1.8257567905665537,98.34468955151549
9,38.526267904657,3550.594,21973.578824231234,1.8247738529891333,98.29174345738105
10,38.52698128472781,3551.25,23104.70140678218,1.824613268496936,98.2830935473199
11,38.54143406601644,3530.25,21811.587544195696,1.8246195526864504,98.28343204622077
12,38.52197451768004,3491.016,26922.904394585876,1.8142019357673917,97.72228539894279
13,38.582485834057856,3470.281,23803.281472726416,1.8137521577549054,97.69805803238793
14,38.520294134873915,3470.0,24662.456006732,1.8134404914735822,97.68127007692816
15,38.21358592965045,3450.297,25136.140483877378,1.8025980036306504,97.09723768751647
16,38.1983618706913,3429.407,22403.720944479715,1.80210690024615,97.07078432300706
17,38.31926916027133,3409.484,22352.57980743316,1.802579500826209,97.09624103091467
18,38.4787542519308,3390.422,24445.12241893981,1.8030683142834096,97.12257104811376
19,38.54659017774874,3390.281,23698.98738460771,1.8027776247196041,97.1069130069902
20,38.44749852224995,3591.734,22971.94230037186,1.8470259949329193,99.49035873989017
21,38.992275791716615,3552.297,22293.12734942073,1.847417311283644,99.5114370594272
22,38.51424197364312,3531.578,23295.458156057484,1.8361774213478947,98.90599854098058
23,38.165816144899125,3492.907,22698.45366356958,1.8257807475776242,98.34597999985365
24,38.16526203587147,3511.594,22302.171300623195,1.8251136435078368,98.31004632950896
25,38.27549578575718,3431.9370000000054,22545.76930957133,1.8255815042203762,98.33524772367372
26,37.982160799183106,3431.125,23048.872354708317,1.8140311275083907,97.71308478400267
27,38.11100191887773,3412.406,21368.14058866845,1.8147691941158939,97.75284086310275
28,38.18831137948753,3410.688,22344.37284511478,1.813969388710352,97.70975921350076
29,37.998541119085836,3410.718,22299.383320324137,1.802765665167823,97.10626880376819
30,38.194201649765226,3392.719,21471.34974776944,1.804077040117352,97.17690623092355
31,38.45796400011448,3470.672,34186.55617600888,1.8518025516704486,99.74764875349146
32,38.49126351534004,3414.109,28366.18050039569,1.8307038456739428,98.61116348782737
