charge,temperature,time
1,26.713023146449622,8122.844
2,28.630657651876884,10804.766
3,28.510311181520592,10806.391000000003
4,27.94743032564124,10805.953
5,28.182349581908053,10806.594
6,36.186651345077465,10804.844
7,36.13935430758997,10806.235
8,35.46420583269735,10807.531
9,35.219777661310665,10807.063
10,27.55080800546333,10805.891
11,35.44332890427652,10806.031
12,35.51794239177923,10642.983999999997
13,35.081542638352914,10771.188
14,34.460585087793035,10794.406
15,27.33771267675062,10808.672
16,34.69043264785862,10788.828
17,35.105681007040275,10689.594
18,35.05533549707359,10670.672000000006
19,34.25023256471148,10656.266
20,27.30484922551561,10808.235
21,33.74508513415117,10806.719
22,33.43044436107721,9702.0
23,33.17568639783767,10806.313
24,33.257530217998394,10767.172000000006
25,26.463639728406417,10806.14
26,33.774954623752556,10645.781
27,34.42643355981792,10554.906
28,34.35860472854562,10479.375
29,34.2024080930246,10522.063
30,27.962964696959556,10764.344
31,33.690112246938114,10556.078
32,33.65112802729902,10546.687
33,34.065730915484814,10477.203
34,34.043826750742646,10498.592999999993
35,28.007672950138677,10717.0
36,33.6468535523426,10584.766
37,33.54043034547115,10525.641
38,33.06778657550314,10644.125
39,33.705774688469276,10452.516
40,26.955933357562675,10810.453
41,34.02194588179759,10481.562
42,33.35597362804456,10423.218999999997
43,33.32080982918044,10475.094
44,33.04861913599422,10589.359
45,27.096149354299882,10781.75
46,,4791.375
47,23.191779614571548,4582.969
48,33.757969974021854,10184.938
49,33.625519091278925,10230.265
50,33.505246143795205,10213.875
51,33.452138115876444,10311.718
52,28.185142005058786,10348.609
53,33.918176877050485,10321.062
54,34.02461783742734,9193.328
55,33.243843128574326,9182.5
56,33.44305057974552,10354.437
57,27.72567274997729,10520.016
58,23.11320544763696,1855.656
59,33.74743127597816,10140.906
60,33.764652265151554,10145.0
61,33.75519710318919,10279.453
62,33.5686793913933,10325.594
63,28.044440770982522,10650.234
64,33.212369507074,10332.937
65,33.50356450770822,10377.406
66,33.228885984233415,10348.781000000003
67,33.315055401144605,10396.875
68,28.065079096779943,10796.922
69,33.345546963646505,10328.156
70,33.029814104311995,10485.125
71,33.03376732958465,10265.563
72,33.20818485101739,10387.077999999994
73,27.392765467825583,10678.531
74,33.77922775093614,10383.266
75,33.74157842610773,10374.842999999993
76,33.60485853099364,10405.703
77,33.54245670906144,10340.515
78,27.907538462518954,10715.234
79,33.496253713087526,10396.641
80,33.40840537983315,10412.625
81,33.89025119073222,10393.5
82,33.67181151242727,10401.437
83,27.841937781961864,10810.0
84,33.364263464126466,10428.437
85,33.28018802891137,10419.094
86,33.54622835649592,10352.953
87,33.71876019570778,10296.766
88,27.32803519924954,10289.437
89,33.83835108253136,10371.906
90,33.89542839693603,10237.156000000003
91,33.45795823700358,10366.422
92,33.483938310649464,10387.703
93,27.37853814906628,10808.578
94,34.022517442059645,10353.906
95,33.85819366593843,10326.266
96,33.96042454054935,10329.797
97,33.969053050544986,10225.578
98,28.14892462736424,10555.171
99,34.023234828513274,10318.984
100,33.87472098316312,10242.609
101,33.628019118131256,10148.125
102,33.69818797179976,10333.687
103,28.153870845632895,10501.25
104,33.56071799477596,10317.235
105,33.73187121626518,10206.859
106,33.750738523169446,10173.703
107,33.78172962289607,10078.407000000007
108,26.510166321530292,10653.719
109,33.26311506460614,10418.265
110,33.62887168983149,10094.985
111,33.71904176342745,10110.108999999997
112,33.54065773317013,10105.172
113,27.797561801513456,10466.765
114,33.24550252433356,10183.125
115,33.25183568543322,10023.328
116,33.985445246183865,9974.5
117,34.35620577687582,10062.969
118,28.353524179601084,10809.453
119,33.9430389450899,10501.516
120,33.446010491152634,10463.781
121,33.41426580080105,10340.328
122,33.3135615953415,10076.125
123,26.55517783008312,10815.375
124,33.17368480164245,10255.922
125,33.247864854486515,10173.578
126,33.59328233807114,10016.75
127,33.26455936648607,10050.266
128,27.68427144564605,10633.282
129,33.198514086152535,10097.844
130,33.8725684510221,10083.016
131,34.158880896905515,10090.813
132,33.94236999274477,9930.265
133,28.313325054253593,10440.172
134,34.01308891174985,9985.172
