discharge,temperature,time,capacity,soh,ic
1,40.59042914535701,3690.234,1.89105229539079,100.0,23010.896834690953
2,40.26023408628707,3672.344,1.880637027686859,99.44923428456647,22342.939849878512
3,40.27558633997852,3651.641,1.8806626717011388,99.45059035569906,26520.921181008413
4,40.29314715799111,3631.563,1.8807709009833444,99.45631358622364,23486.17412234365
5,40.268872630219796,3629.172,1.8794508728285058,99.38650969142624,24284.993086978287
6,39.67620802332074,3652.281,1.8807003517117404,99.45258289766596,22852.34505410226
7,39.803817662926164,3650.828,1.8799352523566075,99.41212397661985,24898.110950214385
8,39.88810476942348,3572.453,1.8815088124038797,99.49533479268811,26262.254741668792
9,39.95162250671474,3550.594,1.8696907870385844,98.87039039563994,24958.448290241926
10,40.052021854718284,3551.25,1.870052380139199,98.88951165957833,25626.42665586546
11,40.1213838436794,3530.25,1.8700442394188577,98.88908117331621,25234.430924900913
12,40.174657039770814,3491.016,1.8596518987766364,98.33952785490447,25571.30999118112
13,40.016434730174936,3470.281,1.8590746560862206,98.30900290898825,23839.094450363973
14,40.16569230743226,3470.0,1.8590084577709232,98.30550230165662,22851.94607747526
15,39.46139677634257,3450.297,1.8593622586957048,98.32421151057929,27949.42343253157
16,39.5636595172155,3429.407,1.8587355450601035,98.29107051087615,26314.40103499321
17,39.628948319501816,3409.484,1.847817291322145,97.7137065868551,25742.43914733175
18,39.225347214914876,3390.422,1.8485252916137047,97.75114607455649,27124.672614102878
19,39.4126321606434,3390.281,1.848378951850034,97.74340753850292,25243.577122176197
20,39.95874037686836,3591.734,1.8807805437609766,99.45682350219242,24990.985057653652
21,40.31302300333008,3552.297,1.8814721597443598,99.49339657767368,24056.952005950916
22,39.359447242364645,3531.578,1.8810954313244785,99.4734749488113,25693.374810010548
23,39.454159451189874,3492.907,1.8710089649779995,98.94009644991608,26998.553846470815
24,39.641748274009444,3511.594,1.8701995151941375,98.89729225111972,23263.32869549935
25,38.86906912217273,3431.9370000000054,1.8706715362800985,98.92225301434723,23608.89523622186
26,39.11839966443177,3431.125,1.8596124644020169,98.33744254109715,24447.00591409888
27,38.68010761281634,3412.406,1.860033909718346,98.35972882674649,24730.283806585958
28,38.863045678198645,3410.688,1.8591653109160768,98.31379679174215,26178.568495304273
29,39.14531169811219,3410.718,1.8481398178778288,97.73076198804469,25502.269603913883
30,38.8380564174779,3392.719,1.849201702126164,97.78691507545129,23508.318263364552
31,38.95965174080089,3470.672,1.8834677437950846,99.59892428071969,32085.307168143503
32,39.053875772291974,3414.109,1.8628211117905844,98.50711777410832,34093.593799874725
33,38.699551697978606,3395.219,1.852085039652352,97.93938772431541,34244.03727318152
34,38.6052414906155,3386.0,1.8469504648208708,97.66786827220949,32682.763491370773
35,38.42604747702835,3368.187,1.836828431169018,97.13260895248978,35315.17101454532
36,39.0468968949422,3368.266,1.8371619619672275,97.15024626474299,31028.51665969063
37,38.836764958613884,3358.719,1.8316722583718854,96.85994738677316,27616.226531420878
38,38.49981470604549,3339.5,1.8211470951317783,96.30337032828774,26615.079400404804
39,38.582340147970775,3331.265,1.816506091511515,96.0579512231908,26048.045496408406
40,38.787499833494046,3321.188,1.8113815601504555,95.78696287593303,34847.747583650744
41,39.31221126031847,3321.844,1.8116056333939583,95.79881200586186,39123.932744098376
42,39.40567993360536,3311.828,1.8060548955557403,95.50528559986307,28504.1424722377
43,39.32802757827611,3327.391,1.8132041826994056,95.8833442691601,23008.619563683096
44,38.6112528181758,3312.078,1.8062641938283535,95.5163534203101,27675.00141202712
45,38.569726951286874,3293.172,1.7958310249900458,94.96464108196085,24593.237746518244
46,38.34572083526661,3275.328,1.7858852600390451,94.43870295876657,25049.959953611913
47,38.482540634946716,3265.016,1.7803268604502753,94.14477139472058,30740.957088890318
48,41.0499421893331,3328.937,1.8150756899575577,95.9823107156573,29619.643504090604
49,40.361944885615415,3329.266,1.8157025154845838,96.01545763224729,33084.22474644024
50,39.6676965288026,3301.579,1.8002432178056673,95.19796053200334,27982.14127824879
51,39.481181404811096,3283.563,1.7904476205609308,94.67996336880418,34535.592122822374
52,39.419051143069204,3275.125,1.780343032300132,94.14562657201503,27440.707950244658
53,39.72196117128354,3265.656,1.775328769596812,93.88046929870528,23385.734185096582
54,40.041366724781085,3266.093,1.7702629734732853,93.61258690667022,74296.63121878266
55,39.66314441864834,3257.594,1.760081061854204,93.07416120348377,27009.455446635646
