discharge,temperature,discharge_time,ic,capacity,soh
1,39.16298653238707,3690.234,24865.68998790224,2.035337591005598,100.0
2,39.2462026826329,3672.344,25114.15645065038,2.0251402460314116,99.49898508143073
3,38.999202460252846,3651.641,26445.08770941823,2.013326371345464,98.91854698908898
4,38.843627771866515,3631.563,27535.68477087675,2.0132846655407413,98.91649790372313
5,38.97798888258284,3629.172,27974.089852203277,2.000528337624771,98.28975529491258
6,38.83989920742278,3652.281,34870.90582446716,2.0138990759931645,98.9466850557287
7,39.04610837498471,3650.828,27358.03360966354,2.013101105626967,98.907479256665
8,38.87507521022778,3572.453,30964.010660361015,1.9687898262728398,96.73038197560734
9,38.7260539826455,3550.594,26534.195698253363,1.9681661764334244,96.69974087497759
10,38.98629728904917,3551.25,26817.25108664931,1.9572307917560536,96.16246466459876
11,38.65978861919643,3530.25,22953.984875840095,1.9455991514129352,95.59098009149795
12,38.84979195732924,3491.016,25500.077568975827,1.9347505044841131,95.05796547137973
13,38.75128344015104,3470.281,24744.20264606669,1.9232799539368028,94.49439554578115
14,38.76853764058789,3470.0,23866.156463461113,1.911889930948487,93.93478209204011
15,38.84686112344348,3450.297,27225.569568131617,1.9010667141979305,93.40301690486008
16,38.865889781652804,3429.407,26422.15850326286,1.8891989948061458,92.81993331989463
17,38.647578733807656,3409.484,24118.455205258848,1.878278372248849,92.2833824005014
18,38.79218188173866,3390.422,24383.51789537694,1.8675697161520206,91.75724579573611
19,38.77022223929529,3390.281,22666.996739057588,1.8675892574453767,91.75820589657847
20,37.54320599748628,3591.734,29148.654673308476,1.979626548250818,97.26281070025072
21,37.90362577530197,3552.297,26978.86390123316,1.9575499080884022,96.17814345585967
22,37.6701605139887,3531.578,25197.19435569994,1.9458150170787551,95.6015859814876
23,37.34166959188387,3492.907,23820.296445088276,1.9242461121680094,94.5418647339628
24,37.28979017254232,3511.594,23498.18415475342,1.9459811331421641,95.60974757905957
25,37.16794481484507,3431.9370000000054,22504.748008106137,1.901407930553079,93.41978151219875
26,37.51577848501052,3431.125,22476.436185684794,1.878674213680085,92.3028308415357
27,37.24165964092258,3412.406,21553.732122541893,1.8683061328264219,91.79342734506018
28,37.27233216178077,3410.688,22856.33995436639,1.8560244070082998,91.19000283836426
29,37.207134503019795,3410.718,23986.364714863674,1.8451997961855777,90.65816915777205
30,37.49607769896255,3392.719,21751.68545631253,1.857228890885317,91.24918141799353
31,37.250073961181094,3470.672,26737.342808031375,1.9247760889090635,94.56790349742867
32,37.39699052067588,3414.109,31577.312163799183,1.8822317526092551,92.47761948322794
33,37.2852066420257,3395.219,32318.185371333693,1.855276687885587,91.15326597829659
34,37.080390421974414,3386.0,25248.004596446328,1.8392508917181876,90.36588818710266
35,36.98024266357476,3368.187,29090.84222994812,1.8185396073994429,89.34830346748316
36,37.598741245467004,3368.266,28148.056846547053,1.8134770059567056,89.09956824708976
37,37.33680914521836,3358.719,28668.734864000297,1.7971018450305436,88.29502550201761
38,37.39499820465976,3339.5,23473.398246380617,1.7810046294120476,87.50413873759919
39,37.35233964342659,3331.265,22401.515438903694,1.7710130422682329,87.01323309187394
40,37.58677381866742,3321.188,22938.745816728646,1.7604712448170943,86.49529456915789
41,38.207044569893476,3321.844,25530.36024677666,1.7502913788006587,85.9951384249673
42,38.340431886092745,3311.828,21549.755421566108,1.7394925037732578,85.46456919285944
43,38.521539672721865,3327.391,20349.1424100165,1.7546766553637203,86.21059538809914
44,38.03707160241571,3312.078,34920.8481406477,1.7659390941842175,86.7639403894526
45,37.934285687720596,3293.172,22628.447761811,1.7337887419624838,85.18433254632082
46,37.88470784051604,3275.328,20770.455332387817,1.713325912040734,84.17895486292434
47,38.065368726791895,3265.016,18204.650697055065,1.7024077813673466,83.64252637451848
48,39.788440481350335,3328.937,25991.0935453459,1.82371946178183,89.60279954741002
49,39.212903178007906,3329.266,27699.94561047802,1.8081284050314708,88.83678132914206
50,38.66937823121345,3301.579,29875.170738418456,1.7757610945034283,87.246513912519
51,38.5170065164806,3283.563,30252.177268808948,1.7447409841836798,85.72243699983238
52,38.292505299491516,3275.125,21391.645492848107,1.729207034132373,84.95922454210778
53,38.52091685291118,3265.656,25113.950184997062,1.7081086552553244,83.92262113192731
