charge,temperature,charge_time
1,27.29904441900397,7597.875
2,30.577385154985016,10516.0
3,30.66376913104331,10484.547
4,30.792245916339162,10397.89
5,30.89342353302922,10495.203
6,30.821167500690837,10792.672
7,30.421910739966474,10789.985
8,30.518431203479878,10127.562
9,31.081278437806464,10147.952999999994
10,31.24066372289512,10162.094
11,31.220976754395,10119.375
12,31.372627292785396,10013.235
13,30.225464388780154,9586.875
14,31.747377634153153,9952.359
15,31.779134469034663,10758.031000000003
16,31.742574167707367,9921.75
17,31.367092340830315,10000.25
18,31.5483245449075,9936.031
19,31.877731734386295,9989.532
20,31.64827378798208,10158.782
21,28.79758724840639,10289.312
22,29.15641159378297,10283.077999999994
23,29.1544231457191,10281.39
24,28.71481831414117,10081.797
25,28.533877426349584,10797.328
26,28.46161610072502,10099.218
27,28.386930544540967,10078.719
28,28.336534625568376,10617.375
29,28.23465144539435,10564.157
30,28.256499193062336,10143.984
31,28.319210692991568,10790.452999999994
32,28.639243249958948,10442.891
33,23.703554924939645,1674.484
34,28.734782385089698,10113.656
35,28.82022743543977,10137.89
36,28.46526973152355,10651.657
37,28.200378318530046,10032.485
38,28.459241345509497,10574.297
39,28.634605591894335,10461.735
40,28.364390089817356,9993.062000000005
41,28.1594205841221,10602.281
42,28.01307299015277,10667.969
43,28.536212131076272,10504.781
44,28.941934192718506,10246.781
45,28.845042154275994,10166.218999999997
46,28.650268868340458,10804.922
47,28.293152961467708,10758.985
48,28.158218963844206,10317.515
49,28.14052310759905,10805.734
50,28.759859696236166,9946.391
51,30.83734369244914,10063.547
52,30.256179923768244,10376.172
53,29.511842412811585,9756.858999999997
54,29.200173089787796,10610.906
55,29.003660704014656,9978.078
56,29.209813810542578,10246.984
57,29.18041772363144,10437.047
58,29.11844804300408,10805.827999999994
59,28.993570388420174,10805.375
60,28.9660427547404,10685.968
61,29.3765147762846,10588.64
62,29.326964606810204,10736.094
63,29.227532412342384,9790.859
64,29.12070979710154,10274.359
65,29.023105935768037,10711.063
66,29.46574411938269,10806.015
67,29.509744013346197,10481.047
68,29.387918001266215,10153.36
69,29.24631551480774,10662.468
70,29.172752711612734,10494.625
71,29.21475971618361,10467.75
72,29.26292921590928,9904.406
73,29.24635618901523,10805.656
74,29.246890579031508,10777.328
75,29.227147864241523,10745.86
76,29.24258075677239,10806.781
77,29.205804963938984,10806.593999999997
78,29.15027468636607,10429.547
79,29.069744196379535,10807.094
80,29.345336772449535,10719.016
81,29.227318696670796,10806.437000000005
82,28.734579293571617,10805.265
83,28.661365876187777,10208.062
84,29.00140228722429,10807.219
85,29.537310773703567,10805.906
86,29.488543232595912,10655.937000000005
87,29.344957303409892,10117.172
88,28.997287486309055,10805.86
89,28.942764795322784,10806.328
90,29.435653039427557,10744.828
91,29.629351330078233,10804.797000000006
92,29.492381619864656,10802.578
93,30.056355404654543,10544.452999999994
94,29.9217154585725,10701.125
95,29.685947006810565,10805.813
96,29.52893852325117,10693.438
97,29.489260448244107,10708.406
98,29.555663549954055,10805.297000000006
99,29.573584932950624,10363.61
100,29.574504883211656,10805.094
101,29.59702533136257,10805.5
102,29.608387587301,10806.844
103,29.610572699408394,10367.906000000003
104,29.581957944882603,10806.719
105,29.869815946124863,10043.172
106,30.28624835971873,10569.812
107,30.11536638731283,9917.203
108,29.940843049405782,10317.406
109,29.783065327576665,10806.109
110,29.877944013477087,10041.921
111,30.19701485838157,10719.281
112,30.16491960110753,10804.719
113,29.80917785848533,10805.687
114,29.89283012850155,10011.406
115,30.164464056505928,10806.625
116,30.30672706771009,10805.563
117,30.109069799343242,10807.219
118,29.88284075789973,10805.547
119,29.8612751603721,10510.453
120,30.190535444314815,10202.781
121,30.51470759808182,10140.858999999997
122,30.118986881967757,10340.672
123,30.279995940987064,10700.062999999995
124,29.884417292240713,10628.938
125,29.63090988603296,10807.109
126,29.598129752060995,10722.515
127,29.564284108505642,10772.969
128,29.569686993063936,10745.718999999997
129,29.477071860791316,10807.094
130,29.374914905673503,10113.641
131,29.358312360503618,10585.812
132,29.383571730227782,10806.562
133,29.380641256719517,10805.281000000003
134,29.307071169348962,10733.391
135,29.669057228550887,10805.547
136,30.05088773324804,10751.266000000003
137,29.64944323132459,10805.625
138,29.390818858325176,10806.672
139,29.386940749297114,10502.453
140,29.732600284223718,10689.219
141,29.774982060233484,10436.453999999998
142,29.490551964069194,10193.25
143,29.190163881380066,10733.703
144,29.208672053167405,10647.812
145,29.453610291006044,10621.235
146,29.4002159239623,9969.577999999994
147,29.113406673153683,10501.094
148,28.907801618466582,10570.735
149,28.99403425065165,10804.765
150,29.23623523004328,10037.5
151,29.260162178612,10555.125
152,28.954663869279074,10807.328
153,29.42943562413917,10790.062999999995
154,29.365754863674997,10574.641
155,29.18156159876141,10074.109
156,29.11061940894592,10423.047
157,29.06555232624057,10534.046
158,29.04585339751556,10266.812000000005
159,29.05618290210888,10568.109
160,28.98532286604206,10798.344
161,29.02814341192068,10279.047
162,29.06882936597328,10299.39
163,29.11731427294074,10543.077999999994
164,29.085224991378187,10430.109
165,29.021049593818244,10154.094
166,29.067548735124177,10316.906
167,29.14009489190413,10571.39
168,29.16287926072855,9892.375
169,28.656686168389818,10212.234
170,23.09308259938123,12.656000000000002
