discharge,temperature
58.875698,48.918312
39.80163,31.550161
41.95154,29.540579
36.006287,36.52639
33.992214,28.033354
44.93253,30.625076
32.39053,31.89782
68.10901,62.028603
67.20406,57.731693
40.608795,35.956284
69.76043,52.299072
55.520462,75.098465
61.715797,60.15838
57.727783,69.87352
82.47421,79.90137
46.20852,37.059406
58.141396,19.892277
20.704952,25.238905
35.99447,15.054501
67.143936,76.31666
41.225697,22.68808
85.68885,81.20462
83.64511,78.38729
102.41217,82.27098
90.46693,49.105442
80.475914,88.43699
26.611324,16.127314
81.69805,94.77601
41.133987,29.552681
40.70899,22.47559
88.58044,61.08586
7.891255,22.443588
29.633877,13.328282
47.938866,29.703077
30.779163,35.955757
51.514553,-9.249834
93.236725,77.635735
90.74436,40.882267
47.264236,51.85229
35.538376,29.552402
98.572685,88.70056
123.36208,109.11542
27.895296,11.874231
64.837204,45.45805
98.845184,54.68365
47.927372,23.614882
-1.5724672,140.93016
37.87766,30.659798
36.17657,43.560307
117.4328,115.27025
85.59767,140.28172
112.80755,134.90907
11.330709,34.156387
31.425636,57.394287
132.86461,105.33544
29.375273,36.19392
130.11916,105.97366
-18.157131,56.6641
106.87013,146.99931
105.2167,143.66068
91.220505,51.865402
130.20514,121.81322
16.318684,48.230843
115.51955,168.54774
54.34315,105.02561
14.195258,26.916195
55.45166,86.94825
11.638091,66.27221
118.769356,160.65181
20.78601,79.52039
23.42434,43.944614
111.82839,132.19185
133.44232,121.89721
113.141014,137.48126
22.894934,5.09466
172.73778,150.79652
7.203805,90.45577
4.4375944,13.159686
124.92061,124.461685
131.36116,126.46415
54.105297,36.755848
47.95429,-6.1208754
50.629265,38.34006
144.51343,202.24976
38.099007,29.864576
43.309635,63.879543
149.93405,171.55388
25.217474,89.020874
12.763916,55.09523
155.23483,153.61467
147.66261,171.1636
123.18607,213.96893
162.63899,143.27248
121.312256,183.03894
57.493717,43.350967
-7.1191807,22.266973
99.21225,213.79227
127.16753,160.86511
180.31314,178.9122
1.0387248,26.26483
20.006096,36.64663
212.24191,251.70483
229.4307,194.82234
175.89525,143.93472
184.67369,149.2162
166.52223,183.25015
118.06673,181.24365
202.93875,195.54079
233.98442,228.11967
59.52744,34.925323
57.722042,4.8218174
-25.894419,53.424877
86.045845,79.86263
194.93956,181.76472
167.66055,236.56189
198.13428,203.80368
-47.465076,61.0894
50.055767,54.004257
41.45301,35.90656
40.107037,39.09283
36.9546,46.004116
38.06771,31.853868
41.55428,32.127983
41.073044,38.032066
57.936687,60.73945
64.56401,55.958317
40.110714,43.47666
69.44221,61.718502
57.99051,68.00344
69.36673,63.656002
58.688915,63.723602
65.763916,67.950134
57.904324,38.35768
43.156193,25.470455
34.08996,34.41911
34.801598,40.49085
64.75046,71.07731
41.287693,36.7681
89.334015,72.11579
65.549095,75.39232
69.23519,63.470222
84.9788,65.46945
83.974976,84.76381
39.431225,37.94703
81.21689,71.82703
37.152367,39.85305
48.416466,32.1991
97.959335,93.460175
32.78589,36.58895
32.396496,24.80059
47.303078,44.211483
41.056564,47.26616
29.484026,27.466784
94.801765,90.907875
70.77006,69.59237
58.80984,71.83212
30.95454,49.250095
88.17318,82.65799
105.611465,127.23787
38.564686,34.882008
56.38605,22.679882
94.345665,50.380806
38.557003,29.653448
23.336239,92.36031
63.05183,23.413025
3.667867,63.423817
120.35303,101.9936
68.4066,120.63655
94.077156,101.17344
51.273487,43.975315
26.619907,41.15353
110.905426,102.759926
34.95764,36.506424
118.08815,99.41512
32.01066,49.95357
131.2003,114.32357
77.170204,98.349655
86.11497,51.66264
125.08822,98.817406
23.299671,39.3832
106.7316,117.33665
38.005203,64.452705
47.45788,55.18571
77.84653,44.9141
34.774715,44.351788
102.38103,132.18758
28.336449,28.75074
10.961101,4.5916243
128.46428,148.40024
134.96744,122.47105
94.36673,146.81306
25.091558,57.10005
159.36684,136.94576
26.77677,26.472818
52.8966,27.866013
98.94809,133.65857
122.54329,133.26958
50.839252,25.156746
44.89911,-3.1315796
59.72842,11.17423
182.98169,169.86505
29.850153,40.37152
60.936367,12.3437805
144.8633,88.94642
35.03146,89.28082
55.850117,31.02687
165.4863,96.79679
185.1592,114.29304
124.74812,149.76155
130.4363,147.9399
153.95213,148.7391
81.86117,-22.295088
14.840605,66.02366
133.9639,124.157326
135.2234,130.13614
152.494,140.20442
2.9013574,-7.3721027
18.891464,68.51683
170.34503,198.67667
140.49092,171.18304
115.40693,144.71771
174.05098,179.59895
181.86057,149.22366
100.37857,152.37755
182.26265,204.39526
150.55545,149.47488
50.474045,22.15795
58.658257,62.743908
4.6649613,-4.1701903
45.848854,28.307152
103.84348,186.99837
85.01244,199.96065
153.9726,154.12083
45.94886,-18.773945
50.27339,54.67593
36.643322,38.360252
43.56103,36.841537
42.272755,41.101646
39.68968,30.747816
38.729282,42.060177
38.719738,38.389645
52.841873,56.154243
61.786842,53.902225
42.519035,37.631428
65.305084,58.915443
63.105896,66.61515
63.28802,65.57806
65.166374,59.670525
73.637405,68.947205
45.110615,44.361164
50.07767,34.79538
31.707102,32.848152
36.093872,40.73939
62.84775,62.320946
37.77392,49.81851
83.67373,85.553505
76.93967,69.80405
83.28847,71.44242
78.19995,62.26284
68.29991,70.7494
38.037365,29.466547
83.56619,76.43333
46.57356,43.5677
58.666985,43.201336
79.75815,75.90409
46.895466,33.862434
43.805706,39.873604
45.640545,35.378414
36.672134,37.725727
38.819973,36.997185
81.29045,80.46138
73.57998,86.8748
51.529846,55.23372
39.36138,55.775238
91.961006,80.19829
104.29073,97.64592
39.91979,35.06679
36.64211,36.381012
102.37067,43.124413
52.96314,53.682457
26.94645,92.328125
58.031467,44.67744
39.424698,50.53107
108.55084,99.21871
86.72804,115.662865
104.786446,117.115105
35.454533,66.094536
28.602528,43.5354
80.826416,110.92085
49.641186,34.951897
104.47523,102.21469
43.37938,66.30997
95.60077,120.038666
91.90865,110.7696
81.293144,40.240433
107.55279,99.572266
44.567,36.499744
100.33221,112.66662
46.26615,60.61818
59.608257,52.67281
71.089676,48.91752
29.852137,71.25619
109.30728,102.84527
38.850407,9.612779
29.295662,22.838387
119.4908,119.87012
117.92701,81.08485
115.7216,123.46274
33.64939,48.770153
136.5781,143.5893
42.938324,70.6358
53.97539,50.807022
112.68772,104.02861
142.74745,98.759285
40.18736,47.480186
44.538307,12.984914
87.80646,36.644207
127.15522,141.70131
85.78961,49.131176
37.467472,33.374332
112.853714,138.55508
49.967663,52.55211
20.297852,55.887356
145.75526,117.09542
128.83162,133.26372
118.432236,117.31738
149.66843,139.42667
108.357124,154.26894
66.34993,74.7053
38.107086,64.202774
140.22556,121.19858
131.34727,115.741684
147.299,116.47829
51.80763,36.041393
21.133652,52.33701
148.5498,130.03357
153.64731,192.34322
119.656715,140.25002
196.76624,85.07365
131.45424,106.32346
128.58012,156.69902
161.2857,143.36826
137.78754,136.57751
58.20273,-3.5702834
19.762903,46.32778
30.49153,91.72041
71.75836,76.38082
137.98132,167.70425
153.87578,149.02307
176.72983,147.2792
44.088535,8.733304
46.810143,53.745377
41.134415,33.69932
46.60773,37.880684
39.083424,39.263523
32.12951,37.072006
37.659412,37.534603
39.49234,33.78567
55.353935,57.7681
62.75677,66.507645
47.30675,43.464485
63.542843,59.45927
56.074303,61.746918
67.72759,55.407127
58.983524,66.231
65.577446,63.712063
47.60338,36.748688
44.12573,32.446682
52.737663,44.3081
46.201817,47.434757
67.69091,64.82044
39.14301,27.94738
73.59975,68.8282
61.732216,79.63247
75.46293,72.523445
71.45635,79.03997
93.65612,84.85455
35.76222,42.49947
89.58065,74.90841
41.485573,51.56567
57.135704,41.366028
96.436455,86.98808
45.849632,37.7295
48.33824,42.734386
53.741756,31.032751
51.298573,36.10308
47.535606,49.832905
93.649315,77.180435
76.41053,68.91962
44.731945,52.22735
28.079975,51.061165
98.90481,91.7949
94.699875,97.001656
39.124714,44.548687
52.24891,37.833538
85.529106,48.057934
30.123003,33.511826
31.006626,95.88471
45.466206,26.201092
33.53888,57.69457
119.50029,103.32275
84.77298,96.93158
109.929146,91.44288
22.998045,34.133423
31.630898,33.772648
117.302124,98.72163
43.320374,39.31632
110.30077,111.242805
30.4642,36.325596
132.09006,87.93779
92.207726,89.91979
89.796776,49.698242
114.48588,98.38745
42.512722,36.840363
103.72065,125.89018
42.557407,71.71395
55.343925,12.143706
51.933434,42.75423
51.016827,64.025856
77.941925,102.45712
41.510246,27.749477
43.35372,17.980534
129.46597,148.00871
145.5958,129.17018
106.9529,104.15089
21.012823,33.156857
138.16289,103.534966
46.816296,32.084526
32.437275,26.089378
105.09835,118.252174
114.11443,113.0794
50.565712,25.406296
60.582344,51.26262
18.090452,25.611334
139.26825,153.01732
57.915512,41.616364
33.676754,56.539993
150.81885,134.91833
60.845703,74.78435
14.39637,34.784134
182.05684,103.261986
155.47978,135.38196
115.70031,132.48924
126.86949,157.56918
142.51767,98.6095
71.39703,16.816431
-10.230501,75.392815
145.48181,140.93962
127.56262,94.49784
126.831924,103.10756
-32.851818,52.79578
24.754623,26.055817
158.15755,134.00528
151.34157,202.7872
101.36541,178.17046
152.23996,115.54316
168.65932,144.33604
151.66162,164.88617
157.50227,142.01534
198.03021,195.89949
72.00775,40.348362
43.93385,63.341274
18.864958,62.44712
45.99263,31.212326
136.42578,165.0185
115.18023,213.44006
158.16728,130.78064
47.97927,39.27782
47.61978,51.308422
40.202515,35.30306
46.80826,37.376534
41.242027,46.0324
41.55097,40.582943
43.420708,43.663094
41.528423,39.891006
58.069454,63.384933
55.508396,56.233124
45.148876,43.677734
60.65124,56.094353
59.518932,60.10381
55.957138,49.77233
60.64853,63.937237
63.077244,47.968655
47.277657,42.288597
38.98815,42.051067
42.846363,41.818626
43.78719,43.62074
52.711246,72.02407
45.058037,41.51413
72.61363,74.98635
58.860203,71.75015
65.02737,68.54497
65.58676,69.34252
65.194405,67.13962
57.227245,47.56681
77.40699,63.354553
49.189117,45.968452
58.903645,48.06008
80.342804,81.946365
30.485624,41.13244
49.63567,42.51434
51.607025,43.204346
58.701244,57.90982
41.1816,43.22065
80.66056,67.27268
80.43299,55.80318
56.630306,39.22687
46.147522,51.64737
86.63095,82.456116
73.095375,99.83378
54.900444,61.28642
57.163536,49.036
88.76702,52.12177
49.329865,49.681145
55.31526,88.11072
38.563416,72.63569
30.014032,57.308826
110.80197,96.97346
104.569565,99.0652
98.21085,85.475746
34.028572,59.544575
48.79505,53.28717
93.58952,96.69533
71.32106,73.20151
