discharge,voltage,temperature,time,capacity
0.0,0.1732689954019336,0.323617186805699,1.0,1.0
0.005988023952095809,0.22872125170021362,0.33765338689034746,0.980072381033006,0.9821449068909569
0.011976047904191617,0.294101392814205,0.2788407287689964,0.9570113695476131,0.9628524952621079
0.017964071856287425,0.2622137559605547,0.26335873574472046,0.9346465437444098,0.9627001906468794
0.023952095808383235,0.2413421722101575,0.2367994884805652,0.9319832157986253,0.9616158645862067
0.029940119760479042,0.23372993969133732,0.26045115500039034,0.9577242636861751,0.963401610693984
0.03592814371257485,0.21309070166995508,0.2793626790724793,0.9561057712122208,0.962495660731891
0.041916167664670656,0.2671375073839858,0.19616738035444503,0.8688040866656493,0.9459951747724464
0.04790419161676647,0.22191086698709458,0.19867160920346733,0.8444554101424787,0.9442677981568822
0.05389221556886228,0.2002670947684616,0.19886711492835293,0.8451861266345048,0.9439855931593159
0.059880239520958084,0.1470882150200778,0.20282797898673074,0.8217942877129354,0.9439966367517719
0.0658682634730539,0.2190004810622285,0.19749498293160223,0.7780916492248948,0.9256891182793191
0.0718562874251497,0.1602618490205251,0.21407844139398985,0.7549949930325737,0.9248986957348846
0.07784431137724551,0.14367457532737987,0.19703446479822972,0.7546819879498613,0.9243509854238904
0.08383233532934131,0.25002825276692514,0.11297939731895316,0.7327348735559717,0.9052968151645979
0.08982035928143713,0.19965325999310624,0.10880716038063148,0.7094655633144679,0.9044337690040911
0.09580838323353294,0.1338193356957674,0.1419424668748975,0.6872733915604472,0.9052642990491818
0.10179640718562874,0.05863160156142729,0.1856502318223916,0.6660402852022114,0.9061233209797072
0.10778443113772455,0.04640459724122084,0.204241039714184,0.6658832257123093,0.9056124743436221
0.11377245508982035,0.12897996605725387,0.17708442750840625,0.8902811364869245,0.9833728547982172
0.11976047904191617,0.031186275982109848,0.32638362905025026,0.8463523768893088,0.9840605390714177
0.12574850299401197,0.1255417798510425,0.19537583678637027,0.8232735430504518,0.9643079896903192
0.1317365269461078,0.18068693965783408,0.09988782555021793,0.7801980286249277,0.9460372759003844
0.1377245508982036,0.17950628543269798,0.09973596892911327,0.8010134235738497,0.9448649329187248
0.1437125748502994,0.0,0.12994613327207813,0.712283722955977,0.9456871333033133
0.1497005988023952,0.17254071287122702,0.04955606978306619,0.7113792385176704,0.9253889464280016
0.15568862275449102,0.06262851947960689,0.08486568597721432,0.6905281988618199,0.9266859962385046
0.16167664670658682,0.04074971317064254,0.10605276808872234,0.6886145236586174,0.9252804490437778
0.16766467065868262,0.2043003113794842,0.05404518638088563,0.6886479405713622,0.9055914570882506
